"index_code","industry_name","level","industry_code","is_pub","parent_code"
"850111.SI","种子","L3","110101","1","110100"
"850112.SI","粮食种植","L3","110102","0","110100"
"850113.SI","其他种植业","L3","110103","1","110100"
"850114.SI","食用菌","L3","110104","0","110100"
"850121.SI","海洋捕捞","L3","110201","0","110200"
"850122.SI","水产养殖","L3","110202","1","110200"
"850131.SI","林业Ⅲ","L3","110301","0","110300"
"850142.SI","畜禽饲料","L3","110402","1","110400"
"850143.SI","水产饲料","L3","110403","0","110400"
"850144.SI","宠物食品","L3","110404","0","110400"
"850151.SI","果蔬加工","L3","110501","1","110500"
"850152.SI","粮油加工","L3","110502","1","110500"
"850154.SI","其他农产品加工","L3","110504","1","110500"
"850172.SI","生猪养殖","L3","110702","1","110700"
"850173.SI","肉鸡养殖","L3","110703","1","110700"
"850174.SI","其他养殖","L3","110704","0","110700"
"850181.SI","动物保健Ⅲ","L3","110801","1","110800"
"850191.SI","农业综合Ⅲ","L3","110901","0","110900"
"850321.SI","纯碱","L3","220201","0","220200"
"850322.SI","氯碱","L3","220202","1","220200"
"850323.SI","无机盐","L3","220203","1","220200"
"850324.SI","其他化学原料","L3","220204","1","220200"
"850325.SI","煤化工","L3","220205","1","220200"
"850326.SI","钛白粉","L3","220206","1","220200"
"850335.SI","涂料油墨","L3","220305","1","220300"
"850337.SI","民爆制品","L3","220307","1","220300"
"850338.SI","纺织化学制品","L3","220308","1","220300"
"850339.SI","其他化学制品","L3","220309","1","220300"
"850382.SI","氟化工","L3","220311","1","220300"
"850372.SI","聚氨酯","L3","220313","1","220300"
"850135.SI","食品及饲料添加剂","L3","220315","1","220300"
"850136.SI","有机硅","L3","220316","1","220300"
"850137.SI","胶黏剂及胶带","L3","220317","0","220300"
"850341.SI","涤纶","L3","220401","1","220400"
"850343.SI","粘胶","L3","220403","1","220400"
"850344.SI","其他化学纤维","L3","220404","0","220400"
"850345.SI","氨纶","L3","220405","0","220400"
"850346.SI","锦纶","L3","220406","0","220400"
"850351.SI","其他塑料制品","L3","220501","1","220500"
"850353.SI","改性塑料","L3","220503","1","220500"
"850354.SI","合成树脂","L3","220504","1","220500"
"850355.SI","膜材料","L3","220505","1","220500"
"850362.SI","其他橡胶制品","L3","220602","1","220600"
"850363.SI","炭黑","L3","220603","1","220600"
"850364.SI","橡胶助剂","L3","220604","0","220600"
"850331.SI","氮肥","L3","220801","1","220800"
"850332.SI","磷肥及磷化工","L3","220802","1","220800"
"850333.SI","农药","L3","220803","1","220800"
"850336.SI","钾肥","L3","220804","0","220800"
"850381.SI","复合肥","L3","220805","1","220800"
"850523.SI","非金属材料Ⅲ","L3","220901","1","220900"
"850431.SI","铁矿石","L3","230301","0","230300"
"850432.SI","冶钢辅料","L3","230302","0","230300"
"850441.SI","长材","L3","230401","0","230400"
"850442.SI","板材","L3","230402","1","230400"
"850443.SI","钢铁管材","L3","230403","0","230400"
"850401.SI","特钢Ⅲ","L3","230501","1","230500"
"850521.SI","其他金属新材料","L3","240201","1","240200"
"850522.SI","磁性材料","L3","240202","1","240200"
"850551.SI","铝","L3","240301","1","240300"
"850552.SI","铜","L3","240302","1","240300"
"850553.SI","铅锌","L3","240303","1","240300"
"850531.SI","黄金","L3","240401","1","240400"
"850532.SI","白银","L3","240402","0","240400"
"850541.SI","稀土","L3","240501","0","240500"
"850542.SI","钨","L3","240502","0","240500"
"850544.SI","其他小金属","L3","240504","1","240500"
"850545.SI","钼","L3","240505","0","240500"
"850561.SI","钴","L3","240601","0","240600"
"850562.SI","镍","L3","240602","0","240600"
"850543.SI","锂","L3","240603","0","240600"
"850812.SI","分立器件","L3","270102","1","270100"
"850813.SI","半导体材料","L3","270103","1","270100"
"850814.SI","数字芯片设计","L3","270104","1","270100"
"850815.SI","模拟芯片设计","L3","270105","1","270100"
"850816.SI","集成电路制造","L3","270106","0","270100"
"850817.SI","集成电路封测","L3","270107","1","270100"
"850818.SI","半导体设备","L3","270108","1","270100"
"850822.SI","印制电路板","L3","270202","1","270200"
"850823.SI","被动元件","L3","270203","1","270200"
"850831.SI","面板","L3","270301","1","270300"
"850832.SI","LED","L3","270302","1","270300"
"850833.SI","光学元件","L3","270303","1","270300"
"850841.SI","其他电子Ⅲ","L3","270401","1","270400"
"850853.SI","品牌消费电子","L3","270503","1","270500"
"850854.SI","消费电子零部件及组装","L3","270504","1","270500"
"850861.SI","电子化学品Ⅲ","L3","270601","1","270600"
"850922.SI","车身附件及饰件","L3","280202","1","280200"
"850923.SI","底盘与发动机系统","L3","280203","1","280200"
"850924.SI","轮胎轮毂","L3","280204","1","280200"
"850925.SI","其他汽车零部件","L3","280205","1","280200"
"850926.SI","汽车电子电气系统","L3","280206","1","280200"
"850232.SI","汽车经销商","L3","280302","1","280300"
"850233.SI","汽车综合服务","L3","280303","1","280300"
"858811.SI","其他运输设备","L3","280401","1","280400"
"858812.SI","摩托车","L3","280402","1","280400"
"850951.SI","电动乘用车","L3","280501","0","280500"
"850952.SI","综合乘用车","L3","280502","1","280500"
"850912.SI","商用载货车","L3","280601","1","280600"
"850913.SI","商用载客车","L3","280602","1","280600"
"851112.SI","空调","L3","330102","1","330100"
"851116.SI","冰洗","L3","330106","1","330100"
"851121.SI","彩电","L3","330201","0","330200"
"851122.SI","其他黑色家电","L3","330202","1","330200"
"851131.SI","厨房小家电","L3","330301","1","330300"
"851132.SI","清洁小家电","L3","330302","0","330300"
"851133.SI","个护小家电","L3","330303","0","330300"
"851141.SI","厨房电器","L3","330401","1","330400"
"851142.SI","卫浴电器","L3","330402","0","330400"
"851151.SI","照明设备Ⅲ","L3","330501","1","330500"
"851161.SI","家电零部件Ⅲ","L3","330601","1","330600"
"851171.SI","其他家电Ⅲ","L3","330701","0","330700"
"851241.SI","肉制品","L3","340401","1","340400"
"851244.SI","其他食品","L3","340404","0","340400"
"851246.SI","预加工食品","L3","340406","1","340400"
"851247.SI","保健品","L3","340407","1","340400"
"851251.SI","白酒Ⅲ","L3","340501","1","340500"
"851232.SI","啤酒","L3","340601","1","340600"
"851233.SI","其他酒类","L3","340602","1","340600"
"851271.SI","软饮料","L3","340701","1","340700"
"851243.SI","乳品","L3","340702","1","340700"
"851281.SI","零食","L3","340801","1","340800"
"851282.SI","烘焙食品","L3","340802","1","340800"
"851283.SI","熟食","L3","340803","0","340800"
"851242.SI","调味发酵品Ⅲ","L3","340901","1","340900"
"851312.SI","棉纺","L3","350102","1","350100"
"851314.SI","印染","L3","350104","1","350100"
"851315.SI","辅料","L3","350105","1","350100"
"851316.SI","其他纺织","L3","350106","1","350100"
"851317.SI","纺织鞋类制造","L3","350107","0","350100"
"851325.SI","鞋帽及其他","L3","350205","1","350200"
"851326.SI","家纺","L3","350206","1","350200"
"851328.SI","运动服装","L3","350208","0","350200"
"851329.SI","非运动服装","L3","350209","1","350200"
"851331.SI","钟表珠宝","L3","350301","1","350300"
"851332.SI","多品类奢侈品","L3","350302","0","350300"
"851333.SI","其他饰品","L3","350303","0","350300"
"851412.SI","大宗用纸","L3","360102","1","360100"
"851413.SI","特种纸","L3","360103","1","360100"
"851422.SI","印刷","L3","360202","1","360200"
"851423.SI","金属包装","L3","360203","1","360200"
"851424.SI","塑料包装","L3","360204","1","360200"
"851425.SI","纸包装","L3","360205","1","360200"
"851426.SI","综合包装","L3","360206","0","360200"
"851436.SI","瓷砖地板","L3","360306","1","360300"
"851437.SI","成品家居","L3","360307","1","360300"
"851438.SI","定制家居","L3","360308","1","360300"
"851439.SI","卫浴制品","L3","360309","1","360300"
"851491.SI","其他家居用品","L3","360311","1","360300"
"851451.SI","文化用品","L3","360501","0","360500"
"851452.SI","娱乐用品","L3","360502","1","360500"
"851511.SI","原料药","L3","370101","1","370100"
"851512.SI","化学制剂","L3","370102","1","370100"
"851521.SI","中药Ⅲ","L3","370201","1","370200"
"851522.SI","血液制品","L3","370302","1","370300"
"851523.SI","疫苗","L3","370303","1","370300"
"851524.SI","其他生物制品","L3","370304","1","370300"
"851542.SI","医药流通","L3","370402","1","370400"
"851543.SI","线下药店","L3","370403","1","370400"
"851544.SI","互联网药店","L3","370404","0","370400"
"851532.SI","医疗设备","L3","370502","1","370500"
"851533.SI","医疗耗材","L3","370503","1","370500"
"851534.SI","体外诊断","L3","370504","1","370500"
"851562.SI","诊断服务","L3","370602","0","370600"
"851563.SI","医疗研发外包","L3","370603","1","370600"
"851564.SI","医院","L3","370604","1","370600"
"851565.SI","其他医疗服务","L3","370605","0","370600"
"851611.SI","火力发电","L3","410101","1","410100"
"851612.SI","水力发电","L3","410102","1","410100"
"851614.SI","热力服务","L3","410104","1","410100"
"851616.SI","光伏发电","L3","410106","1","410100"
"851617.SI","风力发电","L3","410107","1","410100"
"851618.SI","核力发电","L3","410108","0","410100"
"851619.SI","其他能源发电","L3","410109","0","410100"
"851610.SI","电能综合服务","L3","410110","1","410100"
"851631.SI","燃气Ⅲ","L3","410301","1","410300"
"851782.SI","原材料供应链服务","L3","420802","1","420800"
"851783.SI","中间产品及消费品供应链服务","L3","420803","1","420800"
"851784.SI","快递","L3","420804","1","420800"
"851785.SI","跨境物流","L3","420805","1","420800"
"851786.SI","仓储物流","L3","420806","1","420800"
"851787.SI","公路货运","L3","420807","1","420800"
"851731.SI","高速公路","L3","420901","1","420900"
"851721.SI","公交","L3","420902","1","420900"
"851771.SI","铁路运输","L3","420903","1","420900"
"851741.SI","航空运输","L3","421001","1","421000"
"851751.SI","机场","L3","421002","0","421000"
"851761.SI","航运","L3","421101","1","421100"
"851711.SI","港口","L3","421102","1","421100"
"851811.SI","住宅开发","L3","430101","1","430100"
"851812.SI","商业地产","L3","430102","1","430100"
"851813.SI","产业地产","L3","430103","1","430100"
"851831.SI","物业管理","L3","430301","1","430300"
"851832.SI","房产租赁经纪","L3","430302","0","430300"
"851833.SI","房地产综合服务","L3","430303","0","430300"
"852021.SI","贸易Ⅲ","L3","450201","1","450200"
"852031.SI","百货","L3","450301","1","450300"
"852032.SI","超市","L3","450302","1","450300"
"852033.SI","多业态零售","L3","450303","1","450300"
"852034.SI","商业物业经营","L3","450304","1","450300"
"852041.SI","专业连锁Ⅲ","L3","450401","1","450400"
"852061.SI","综合电商","L3","450601","0","450600"
"852062.SI","跨境电商","L3","450602","1","450600"
"852063.SI","电商服务","L3","450603","1","450600"
"852071.SI","旅游零售Ⅲ","L3","450701","0","450700"
"852161.SI","体育Ⅲ","L3","460601","0","460600"
"852171.SI","本地生活服务Ⅲ","L3","460701","0","460700"
"852181.SI","人力资源服务","L3","460801","0","460800"
"852182.SI","检测服务","L3","460802","1","460800"
"852183.SI","会展服务","L3","460803","1","460800"
"852184.SI","其他专业服务","L3","460804","0","460800"
"852121.SI","酒店","L3","460901","1","460900"
"852141.SI","餐饮","L3","460902","0","460900"
"859931.SI","博彩","L3","461001","0","461000"
"852111.SI","人工景区","L3","461002","1","461000"
"852112.SI","自然景区","L3","461003","1","461000"
"852131.SI","旅游综合","L3","461004","1","461000"
"859851.SI","学历教育","L3","461101","0","461100"
"859852.SI","培训教育","L3","461102","1","461100"
"859853.SI","教育运营及其他","L3","461103","0","461100"
