ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
831641.BJ,20230421,8.91,8.91,8.64,8.75,8.87,-0.12,-1.3529,1048.6,919.053
834682.BJ,20230421,5.49,5.49,5.39,5.43,5.48,-0.05,-0.9124,4098.36,2233.701
430476.BJ,20230421,13.87,14.25,13.87,14.13,14.16,-0.03,-0.2119,1425.38,1987.835
831445.BJ,20230421,6.16,6.19,5.95,5.99,6.16,-0.17,-2.7597,1226.91,746.053
832225.BJ,20230421,7.83,7.83,7.58,7.58,7.77,-0.19,-2.4453,2625.07,2016.665
836871.BJ,20230421,4.7,4.75,4.63,4.65,4.75,-0.1,-2.1053,1223.31,570.378
870508.BJ,20230421,8.1,8.1,7.9,7.91,8.08,-0.17,-2.104,801.66,639.898
837663.BJ,20230421,10.86,10.86,10.67,10.67,10.82,-0.15,-1.3863,1045.1,1120.343
831305.BJ,20230421,8.1,8.2,8,8.15,8.14,0.01,0.1229,1113.11,902.586
430478.BJ,20230421,17.46,17.58,17.36,17.49,17.46,0.03,0.1718,1884.24,3291.954
835184.BJ,20230421,4.65,4.65,4.58,4.61,4.64,-0.03,-0.6466,435.32,200.494
871245.BJ,20230421,9.53,9.67,9.44,9.44,9.53,-0.09,-0.9444,599.37,570.002
833171.BJ,20230421,3.9,3.92,3.84,3.85,3.9,-0.05,-1.2821,6686.42,2593.169
830946.BJ,20230421,8.14,8.27,8.1,8.14,8.14,0,0,5390.03,4422.198
838924.BJ,20230421,5.6,5.69,5.6,5.69,5.7,-0.01,-0.1754,1013.7,573.982
833873.BJ,20230421,3.04,3.06,2.98,3.02,3.07,-0.05,-1.6287,10051.2,3033.802
831768.BJ,20230421,4.8,4.84,4.74,4.77,4.83,-0.06,-1.2422,1528.09,730.911
835174.BJ,20230421,7.3,7.32,7.15,7.19,7.3,-0.11,-1.5068,1536.24,1108.141
834415.BJ,20230421,3.75,3.78,3.64,3.68,3.76,-0.08,-2.1277,1602.24,591.616
838275.BJ,20230421,3.16,3.16,3.06,3.09,3.17,-0.08,-2.5237,1661,511.863
870357.BJ,20230421,11.61,11.73,11.5,11.51,11.7,-0.19,-1.6239,1007.54,1165.977
870866.BJ,20230421,6.2,6.2,6.1,6.1,6.17,-0.07,-1.1345,1568.61,964.079
832149.BJ,20230421,4.95,4.98,4.87,4.91,4.94,-0.03,-0.6073,6247,3065.906
833230.BJ,20230421,9.96,9.98,9.9,9.92,10,-0.08,-0.8,429.85,426.523
832876.BJ,20230421,6.72,6.83,6.66,6.78,6.81,-0.03,-0.4405,1040.64,703.632
839273.BJ,20230421,11.51,11.64,11.28,11.46,11.56,-0.1,-0.8651,1574.44,1789.278
835857.BJ,20230421,3.34,3.36,3.32,3.33,3.36,-0.03,-0.8929,4584.43,1530.867
430139.BJ,20230421,10.15,10.23,9.95,10,10.17,-0.17,-1.6716,6214.64,6228.74
834599.BJ,20230421,7.07,7.07,6.98,7,7.05,-0.05,-0.7092,6634.41,4655.242
837092.BJ,20230421,15.9,15.9,14.88,15.13,15.71,-0.58,-3.6919,1717.16,2618.969
832491.BJ,20230421,8.55,8.57,8.43,8.53,8.55,-0.02,-0.2339,881.38,748.971
831689.BJ,20230421,8.24,8.29,8.24,8.26,8.34,-0.08,-0.9592,387.76,320.398
838030.BJ,20230421,2.72,2.73,2.66,2.72,2.72,0,0,1567.96,424.102
836433.BJ,20230421,3.4,3.4,3.31,3.31,3.39,-0.08,-2.3599,3782.73,1266.045
871981.BJ,20230421,13.53,14.5,13.41,14.17,13.53,0.64,4.7302,6244.11,8809.86
834014.BJ,20230421,12.01,12.05,11.92,11.98,12.03,-0.05,-0.4156,1087.21,1303.442
837212.BJ,20230421,6.7,6.75,6.63,6.66,6.74,-0.08,-1.1869,581.58,387.628
835237.BJ,20230421,14.91,14.91,14.67,14.75,14.91,-0.16,-1.0731,330,487.325
836395.BJ,20230421,7.02,7.14,6.9,7,7.07,-0.07,-0.9901,957.28,668.621
831855.BJ,20230421,6.62,6.65,6.56,6.57,6.65,-0.08,-1.203,2094.91,1382.326
835892.BJ,20230421,10.17,10.23,9.88,9.9,10.17,-0.27,-2.6549,2619.47,2619.37
870204.BJ,20230421,9.24,9.29,9.1,9.17,9.18,-0.01,-0.1089,787.91,722.925
836149.BJ,20230421,3.56,3.57,3.5,3.54,3.58,-0.04,-1.1173,576.9,203.04
831834.BJ,20230421,3.7,3.73,3.7,3.71,3.75,-0.04,-1.0667,526.92,195.736
837821.BJ,20230421,8.3,8.34,8.11,8.19,8.34,-0.15,-1.7986,1762.47,1444.55
833943.BJ,20230421,7.86,8.06,7.86,8.01,7.94,0.07,0.8816,2429.23,1928.797
830964.BJ,20230421,3.24,3.25,3.18,3.2,3.26,-0.06,-1.8405,3564.96,1144.254
871396.BJ,20230421,6.37,6.49,6.36,6.37,6.49,-0.12,-1.849,150.01,95.975
430198.BJ,20230421,4.58,4.63,4.53,4.59,4.63,-0.04,-0.8639,835.47,383.179
833533.BJ,20230421,19.44,19.55,19.03,19.33,19.42,-0.09,-0.4634,1201.89,2301.743
430418.BJ,20230421,10.47,10.55,10.35,10.49,10.49,0,0,389.29,406.821
836957.BJ,20230421,5.54,5.54,5.49,5.5,5.51,-0.01,-0.1815,912.41,502.38
839680.BJ,20230421,14.31,14.56,13.8,14.04,14.49,-0.45,-3.1056,3252.74,4626.507
833346.BJ,20230421,6.99,6.99,6.91,6.93,6.99,-0.06,-0.8584,1252.27,871.444
