"ts_code","name"
"018164.OF","泰达宏利养老目标2030一年持有Y"
"018162.OF","泰达宏利泰和稳健养老Y"
"018163.OF","泰达宏利养老目标2025一年持有Y"
"018151.OF","银华尊禧稳健养老一年持有Y"
"017974.OF","易方达港股通优质增长C"
"018203.OF","信澳核心科技C"
"018099.OF","方正富邦中证保险C"
"017973.OF","易方达港股通优质增长A"
"018161.OF","泰达宏利泰和养老(FOF)Y"
"017695.OF","招商添轩1年定开"
"872027.OF","广发资管多添利六个月持有A"
"872028.OF","广发资管多添利六个月持有C"
"017654.OF","创金合信全球芯片产业C"
"017981.OF","东财成长优选A"
"018135.OF","富国中证大数据产业联接C"
"018030.OF","泓德新能源产业C"
"018134.OF","富国中证大数据产业联接A"
"017946.OF","国富沪港深成长精选C"
"017467.OF","鑫元消费甄选A"
"017468.OF","鑫元消费甄选C"
"017653.OF","创金合信全球芯片产业A"
"017982.OF","东财成长优选C"
"018202.OF","中信建投添鑫宝C"
"017898.OF","海富通货币C"
"017899.OF","海富通货币D"
"018029.OF","泓德新能源产业A"
"018186.OF","东方红益丰纯债C"
"513650.OF","南方标普500ETF"
"018152.OF","长城核心优势C"
"159672.OF","博时中证主要消费ETF"
"018166.OF","东方红稳添利E"
"017548.OF","天弘国证2000指数增强C"
"159676.OF","富国创业板增强策略ETF"
"017064.OF","申万菱信乐成C"
"017063.OF","申万菱信乐成A"
"017547.OF","天弘国证2000指数增强A"
"017818.OF","万家CFETS0-3年政策性金融债A"
"017764.OF","大成均衡增长A"
"017846.OF","国金中证1000指数增强A"
"017847.OF","国金中证1000指数增强C"
"017130.OF","国投瑞银比较优势一年持有A"
"017819.OF","万家CFETS0-3年政策性金融债C"
"017131.OF","国投瑞银比较优势一年持有C"
"017801.OF","汇添富战略精选中小盘市值3年持有A"
"017553.OF","交银瑞鑫六个月持有C"
"017802.OF","汇添富战略精选中小盘市值3年持有C"
"017765.OF","大成均衡增长C"
"017532.OF","平安研究优选A"
"017533.OF","平安研究优选C"
"016450.OF","南方新材料C"
"017976.OF","路博迈护航一年持有C"
"016899.OF","易方达中证上海环交所碳中和联接A"
"017624.OF","农银瑞云增益6个月持有A"
"017833.OF","华夏中证港股通消费主题联接C"
"017625.OF","农银瑞云增益6个月持有C"
"017590.OF","中泰天择稳健6个月持有C"
"017832.OF","华夏中证港股通消费主题联接A"
"016449.OF","南方新材料A"
"017218.OF","鹏华汽车产业A"
"017792.OF","工银瑞信泰丰一年"
"017975.OF","路博迈护航一年持有A"
"017999.OF","中欧融恒平衡C"
"017998.OF","中欧融恒平衡A"
"017219.OF","鹏华汽车产业C"
"017589.OF","中泰天择稳健6个月持有A"
"016900.OF","易方达中证上海环交所碳中和联接C"
"017961.OF","招商趋势领航C"
"017960.OF","招商趋势领航A"
"016491.OF","华安事件驱动量化策略C"
"018104.OF","易方达中证港股通消费主题联接C"
"872026.OF","广发资管盛世精选C"
"017914.OF","国金鑫瑞C"
"017079.OF","格林鑫利六个月持有A"
"508096.SH","中航京能光伏REIT"
"508028.SH","中信建投国家电投新能源REIT"
"872032.OF","广发资管弘利3个月滚动持有C"
"018103.OF","易方达中证港股通消费主题联接A"
"870006.OF","广发资管盛世精选A"
"017080.OF","格林鑫利六个月持有C"
"872031.OF","广发资管弘利3个月滚动持有A"
"017810.OF","湘财鑫享C"
"017809.OF","湘财鑫享A"
"017877.OF","汇添富新能源精选C"
"016515.OF","申万菱信智能生活量化选股A"
"016516.OF","申万菱信智能生活量化选股C"
"017826.OF","兴证全球欣越A"
"016148.OF","融通通灿"
"017948.OF","国富中小盘C"
"016845.OF","红土创新稳益6个月持有C"
"017876.OF","汇添富新能源精选A"
"017950.OF","景顺长城创业板50联接C"
"017682.OF","东海鑫乐一年定开"
"017949.OF","景顺长城创业板50联接A"
"017827.OF","兴证全球欣越C"
"018147.OF","建信新兴市场优选C"
"016844.OF","红土创新稳益6个月持有A"
"016771.OF","华安盈安稳健优选3个月持有C"
"016770.OF","华安盈安稳健优选3个月持有A"
"018028.OF","嘉实中证高端装备细分50联接C"
"017993.OF","方正富邦远见成长A"
"017596.OF","中银证券汇裕一年定开"
"017994.OF","方正富邦远见成长C"
"017604.OF","华夏中证生物科技主题联接A"
"016208.OF","华泰柏瑞锦汇"
"016116.OF","国联安恒盛3个月定开纯债"
"016184.OF","长城鼎利一年定开"
"017605.OF","华夏中证生物科技主题联接C"
"018027.OF","嘉实中证高端装备细分50联接A"
"018087.OF","鹏华双债增利C"
"018075.OF","长盛航天海工装备C"
"017725.OF","百嘉同业存单指数7天持有"
"561920.SH","疫苗龙头ETF"
"017938.OF","易方达中证医疗联接C"
"017937.OF","易方达中证医疗联接A"
"017554.OF","尚正同业存单指数7天持有"
"159685.OF","天弘中证1000增强策略ETF"
"016332.OF","长城产业臻选A"
"017854.OF","易方达中证云计算与大数据主题联接C"
"018093.OF","国投瑞银顺意一年定开"
"017837.OF","博时中债7-10年政策性金融债A"
"016702.OF","银华海外数字经济量化选股C"
"018090.OF","广发活期宝C"
"018042.OF","海富通稳固收益A"
"017838.OF","博时中债7-10年政策性金融债C"
"016701.OF","银华海外数字经济量化选股A"
"017853.OF","易方达中证云计算与大数据主题联接A"
"016333.OF","长城产业臻选C"
"017551.OF","南方景气前瞻A"
"012350.OF","万家元贞量化选股A"
"012351.OF","万家元贞量化选股C"
"017552.OF","南方景气前瞻C"
"017733.OF","中金中证1000指数增强A"
"016697.OF","华泰柏瑞上证50指数增强A"
"017750.OF","国投瑞银景气驱动C"
"017749.OF","国投瑞银景气驱动A"
"017431.OF","嘉实全球创新龙头C"
"017894.OF","汇添富纳斯达克生物科技联接A"
"017430.OF","嘉实全球创新龙头美元"
"017734.OF","中金中证1000指数增强C"
"017907.OF","汇添富中证上海环交所碳中和联接A"
"017908.OF","汇添富中证上海环交所碳中和联接C"
"017855.OF","华夏中证石化产业联接A"
"017952.OF","汇添富纳斯达克生物科技联接美元现钞"
"017166.OF","易米低碳经济C"
"017977.OF","信澳优享生活A"
"017978.OF","信澳优享生活C"
"017429.OF","嘉实全球创新龙头A"
"017084.OF","鹏华安锦一年持有C"
"017856.OF","华夏中证石化产业联接C"
"016698.OF","华泰柏瑞上证50指数增强C"
"017619.OF","鑫元添鑫回报6个月持有A"
"017895.OF","汇添富纳斯达克生物科技联接C"
"017165.OF","易米低碳经济A"
"017620.OF","鑫元添鑫回报6个月持有C"
"017083.OF","鹏华安锦一年持有A"
"017951.OF","汇添富纳斯达克生物科技联接美元现汇"
