ts_code,name
004453.OF,前海开源盈鑫A
004213.OF,中欧骏益
673100.OF,西部利得沪深300指数增强A
004454.OF,前海开源盈鑫C
004373.OF,金鹰现金增益B
004038.OF,中银富享定期开放
004372.OF,金鹰现金增益A
511770.SH,金鹰增益货币ETF
004355.OF,嘉实丰和A
004338.OF,长盛盛弘A
004339.OF,长盛盛弘C
001725.OF,汇添富中国高端制造A
003593.OF,国泰景气行业
003925.OF,长盛盛泰C
004337.OF,长盛盛乾C
003924.OF,长盛盛泰A
004336.OF,长盛盛乾A
003770.OF,中银丰庆
003952.OF,兴业嘉瑞6个月定开A
003953.OF,兴业嘉瑞6个月定开C
004127.OF,鹏华丰康
003866.OF,博时富诚纯债
004031.OF,鑫元添利三个月定开债
003441.OF,招商招享纯债C
003440.OF,招商招享纯债A
519230.OF,海富通富源
004353.OF,嘉实新添华定开
501033.OF,银华惠安
519227.OF,海富通欣盛定期开放
004066.OF,嘉实稳熙纯债
004249.OF,安信中国制造2025沪港深
003985.OF,嘉实新能源新材料C
003984.OF,嘉实新能源新材料A
003726.OF,融通通颐定期开放A
003727.OF,融通通颐定期开放C
004438.OF,鹏华永安18个月
003957.OF,安信量化精选沪深300指数增强A
003958.OF,安信量化精选沪深300指数增强C
003508.OF,华安睿安A
003509.OF,华安睿安C
004244.OF,东方周期优选
004042.OF,华夏鼎茂A
004043.OF,华夏鼎茂C
004189.OF,华商消费行业
003697.OF,华夏睿磐泰盛
004331.OF,太平日日鑫B
004330.OF,太平日日鑫A
003913.OF,泰达宏利启富C
004442.OF,中欧康裕A
003912.OF,泰达宏利启富A
004455.OF,中欧康裕C
001880.OF,长城中国智造A
000762.OF,汇添富绝对收益策略A
004123.OF,兴银长盈三个月定开
004122.OF,兴银长益三个月定开
003845.OF,汇安丰恒A
003846.OF,汇安丰恒C
004314.OF,前海开源沪港深新硬件A
004315.OF,前海开源沪港深新硬件C
004399.OF,融通汇财宝E
004445.OF,鹏华丰嘉
003650.OF,融通通润
003533.OF,汇添富鑫利定期开放C
003532.OF,汇添富鑫利定期开放A
161036.SZ,娱乐增强LOF
004459.OF,鑫元瑞利定期开放
675093.OF,西部利得祥逸C
675091.OF,西部利得祥逸A
004140.OF,兴业福鑫
004260.OF,德邦稳盈增长A
675111.OF,西部利得汇享A
512900.SH,证券ETF基金
675113.OF,西部利得汇享C
519228.OF,海富通欣享C
519229.OF,海富通欣享A
004463.OF,鹏华丰玉
000874.OF,华安现金宝B
004178.OF,圆信永丰丰润A
000873.OF,华安现金宝A
004177.OF,平安惠裕C
003488.OF,平安惠裕A
004415.OF,泰达宏利京天宝B
004395.OF,国富恒通纯债
004414.OF,泰达宏利京天宝A
519649.OF,银河犇利A
519650.OF,银河犇利C
164510.OF,国富恒利C
003982.OF,国投瑞银顺益纯债
003420.OF,德邦群利A
003421.OF,德邦群利C
004179.OF,圆信永丰丰润B
003451.OF,招商招信3个月C
003450.OF,招商招信3个月A
003853.OF,金鹰信息产业A
164509.SZ,国富恒利债券LOF
004135.OF,申万菱信量化成长A
004158.OF,信诚至诚B
004157.OF,信诚至诚A
003910.OF,万家家盛A
003911.OF,万家家盛C
004006.OF,东方民丰回报赢安C
004138.OF,上银鑫达A
004388.OF,鹏华丰享
003461.OF,嘉实稳元纯债A
004441.OF,富荣富兴纯债
0009511.OF,中银理财90天A
003999.OF,富荣富祥纯债
0009521.OF,中银理财90天B
004458.OF,博时华盈纯债
004005.OF,东方民丰回报赢安A
003666.OF,天弘金明
004224.OF,南方军工改革A
001825.OF,建信中国制造2025A
004070.OF,南方中证全指证券公司ETF联接C
004069.OF,南方中证全指证券公司ETF联接A
003553.OF,国泰现金宝B
004048.OF,华夏新锦汇A
003552.OF,国泰现金宝A
004295.OF,中欧天尚18个月A
004400.OF,金信民兴A
003868.OF,招商招景纯债C
003867.OF,招商招景纯债A
004296.OF,中欧天尚18个月C
004401.OF,金信民兴C
003769.OF,中银品质生活
004049.OF,华夏新锦汇C
004302.OF,国寿安保稳信C
004301.OF,国寿安保稳信A
004033.OF,金鹰添荣纯债A
003307.OF,民生加银鑫益C
003306.OF,民生加银鑫益A
004134.OF,农银汇理金安18个月
004326.OF,国联安鑫怡A
004327.OF,国联安鑫怡C
003716.OF,平安惠益
004087.OF,银华添润
004323.OF,博时富海纯债
003908.OF,万家家泰A
003909.OF,万家家泰C
004200.OF,博时富瑞纯债A
004195.OF,招商中证1000指数增强C
004194.OF,招商中证1000指数增强A
003318.OF,景顺长城中证500行业
004083.OF,国联安鑫隆A
004084.OF,国联安鑫隆C
003979.OF,中信建投稳祥C
003978.OF,中信建投稳祥A
004285.OF,华富天盈A
004286.OF,华富天盈B
003976.OF,中信建投稳惠A
004283.OF,中欧达安一年
004412.OF,申万菱信智选一年
004303.OF,长盛盛德A
004304.OF,长盛盛德C
004411.OF,申万菱信臻选6个月
002069.OF,华泰柏瑞盛利A
002070.OF,华泰柏瑞盛利C
003977.OF,中信建投稳惠C
519784.OF,交银境尚收益A
519785.OF,交银境尚收益C
162718.SZ,广发鑫瑞
004105.OF,信诚稳鑫C
004104.OF,信诚稳鑫A
003238.OF,新华外延增长主题
004238.OF,永赢瑞益
519631.OF,银河君欣纯债A
501027.SH,国泰融信LOF
004305.OF,长盛盛禧A
004306.OF,长盛盛禧C
004082.OF,国联安鑫乾C
004131.OF,国联安鑫发A
004081.OF,国联安鑫乾A
004132.OF,国联安鑫发C
004074.OF,交银瑞安定期开放
519634.OF,银河君腾C
519633.OF,银河君腾A
004020.OF,广发景祥纯债
003001.OF,招商丰德C
003000.OF,招商丰德A
004143.OF,招商盛合C
004142.OF,招商盛合A
003831.OF,建信鑫瑞回报
004129.OF,国联安鑫汇A
675100.OF,西部利得得尊A
001902.OF,前海开源沪港深隆鑫C
001901.OF,前海开源沪港深隆鑫A
004408.OF,招商深证100C
003916.OF,泰达宏利启泽A
004321.OF,前海开源沪港深强国产业
004130.OF,国联安鑫汇C
004407.OF,招商上证消费80ETF联接C
003917.OF,泰达宏利启泽C
004378.OF,信诚永丰一年定期开放A
004379.OF,信诚永丰一年定期开放C
003945.OF,国泰众益A
003946.OF,国泰众益C
003757.OF,国泰嘉益C
003756.OF,国泰嘉益A
003915.OF,泰达宏利启迪C
003457.OF,国泰润泰纯债A
003914.OF,泰达宏利启迪A
004004.OF,泰达宏利启惠C
003918.OF,泰达宏利启明A
004003.OF,泰达宏利启惠A
003919.OF,泰达宏利启明C
003403.OF,华商瑞丰短债A
004367.OF,博时汇享纯债C
004366.OF,博时汇享纯债A
004115.OF,嘉实新添程
004381.OF,信诚永利一年定期开放C
004380.OF,信诚永利一年定期开放A
004032.OF,工银丰淳
003852.OF,金鹰添享纯债
004243.OF,广发道琼斯美国石油C人民币
162719.SZ,石油LOF
003670.OF,中融物联网主题
004230.OF,永赢添益
004335.OF,华宝新飞跃
003517.OF,国泰润利纯债
004311.OF,长盛盛瑞C
004310.OF,长盛盛瑞A
003562.OF,诺德成长精选C
004282.OF,博时兴荣B
003561.OF,诺德成长精选A
004308.OF,长盛盛享A
004309.OF,长盛盛享C
004252.OF,国泰安益C
004329.OF,信诚永鑫一年定期开放C
004328.OF,信诚永鑫一年定期开放A
004064.OF,交银瑞利定期开放
004207.OF,交银启通A
004208.OF,交银启通C
002920.OF,中欧短债A
004398.OF,融通现金宝B
003389.OF,招商招益宝B
519193.OF,万家消费成长
004345.OF,南方深成ETF联接C
004348.OF,南方中证500ETF联接C
004344.OF,南方大数据100C
004410.OF,招商央视财经50C
004347.OF,南方中证500信息技术ETF联接C
004343.OF,南方创业板ETF联接C
004346.OF,南方小康产业ETF联接C
004409.OF,招商深证TMT50ETF联接C
004024.OF,华泰保兴尊诚
003388.OF,招商招益宝A
003577.OF,招商招弘纯债C
003576.OF,招商招弘纯债A
004298.OF,长盛盛淳C
004297.OF,长盛盛淳A
004342.OF,南方沪深300ETF联接C
003783.OF,招商稳阳定期开放C
003782.OF,招商稳阳定期开放A
002587.OF,金鹰添利中长期信用债C
002586.OF,金鹰添利中长期信用债A
004100.OF,鹏华安益增强
001657.OF,长安鑫富领先A
003658.OF,长盛量化多策略
004096.OF,鹏华兴康A
004165.OF,北信瑞丰增强回报
002631.OF,江信瑞福C
002630.OF,江信瑞福A
004124.OF,民生加银鑫升纯债
003195.OF,光大永利纯债A
003196.OF,光大永利纯债C
501100.OF,博时安康18个月定开
004369.OF,前海开源聚财宝B
004368.OF,前海开源聚财宝A
004028.OF,广发景源纯债C
004027.OF,广发景源纯债A
003898.OF,永赢丰益
004108.OF,信诚稳泰A
001603.OF,易方达安盈回报A
004109.OF,信诚稳泰C
519226.OF,海富通瑞利
004061.OF,华夏鼎隆A
004047.OF,华夏新锦顺C
001581.OF,华安沪港深通精选A
004307.OF,博时富元纯债
004046.OF,华夏新锦顺A
000829.OF,易方达天天发A
000830.OF,易方达天天发B
004117.OF,大成惠祥纯债
004300.OF,长盛盛泽C
004299.OF,长盛盛泽A
