ts_code,name,market,publisher,category,base_date,base_point,list_date
000001.CZC,农期指数,OTH,郑州商品交易所,商品指数,,1000,
000001.SH,上证指数,SSE,中证公司,综合指数,19901219,100,19910715
000002.CZC,农期谷物,OTH,郑州商品交易所,商品指数,,1000,
000002.SH,上证A指,SSE,中证公司,综合指数,19901219,100,19920221
000003.CZC,农期软商,OTH,郑州商品交易所,商品指数,,1000,
000003.SH,上证B指,SSE,中证公司,综合指数,19920221,100,19920221
000004.CZC,农期油脂,OTH,郑州商品交易所,商品指数,,1000,
000004.SH,上证工业类指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
000005.CZC,农期强麦,OTH,郑州商品交易所,商品指数,,1000,
000005.SH,上证商业类指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
000006.CZC,农期早籼,OTH,郑州商品交易所,商品指数,,1000,
000006.SH,上证房地产指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
000007.CZC,农期棉花,OTH,郑州商品交易所,商品指数,,1000,
000007.SH,上证公用事业股指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
000008.CZC,农期白糖,OTH,郑州商品交易所,商品指数,,1000,
000008.SH,上证综合股指数,SSE,中证公司,综合指数,19930430,1358.78,19930503
000009.CZC,农期菜油,OTH,郑州商品交易所,商品指数,,1000,
000009.SH,上证380,SSE,中证公司,规模指数,20031231,1000,20101129
000010.CZC,农期菜粕,OTH,郑州商品交易所,商品指数,,1000,
000010.SH,上证180,SSE,中证公司,规模指数,20020628,3299.06,20020701
000011.CZC,农期棉纱,OTH,郑州商品交易所,商品指数,,,
000011.SH,上证基金指数,SSE,上交所,其他,20000508,1000,20000609
000012.SH,上证国债,SSE,上交所,债券指数,20021231,100,20030102
000013.SH,上证企债,SSE,上交所,债券指数,20021231,100,20030609
000015.SH,上证红利,SSE,中证公司,主题指数,20041231,1000,20050104
000016.SH,上证50,SSE,中证公司,规模指数,20031231,1000,20040102
000017.SH,新综指,SSE,中证公司,综合指数,20051230,1000,20060104
000018.SH,180金融,SSE,中证公司,行业指数,20020628,1000,20071210
000019.SH,治理指数,SSE,中证公司,主题指数,20070629,1000,20080102
000020.SH,中型综指,SSE,中证公司,综合指数,20071228,1000,20080512
000021.SH,180治理,SSE,中证公司,主题指数,20070629,1000,20080910
000022.SH,上证公司债,SSE,上交所,债券指数,20071231,100,20081119
000023.SH,沪分离债,SSE,上交所,债券指数,20071231,100,20081119
000025.SH,180基建,SSE,中证公司,主题指数,20020628,1000,20081215
000026.SH,180资源,SSE,中证公司,主题指数,20020628,1000,20081215
000027.SH,180运输,SSE,中证公司,主题指数,20020628,1000,20081215
000028.SH,180成长,SSE,中证公司,成长指数,20020628,1000,20090109
000029.SH,180价值,SSE,中证公司,价值指数,20020628,1000,20090109
000030.SH,180R成长,SSE,中证公司,成长指数,20020628,1000,20090109
000031.SH,180R价值,SSE,中证公司,价值指数,20020628,1000,20090109
000032.SH,上证能源,SSE,中证公司,一级行业指数,20031231,1000,20090109
000033.SH,上证材料,SSE,中证公司,一级行业指数,20031231,1000,20090109
000034.SH,上证工业,SSE,中证公司,一级行业指数,20031231,1000,20090109
000035.SH,上证可选,SSE,中证公司,一级行业指数,20031231,1000,20090109
000036.SH,上证消费,SSE,中证公司,一级行业指数,20031231,1000,20090109
000037.SH,上证医药,SSE,中证公司,一级行业指数,20031231,1000,20090109
000038.SH,上证金融,SSE,中证公司,一级行业指数,20031231,1000,20090109
000039.SH,上证信息,SSE,中证公司,一级行业指数,20031231,1000,20090109
000040.SH,上证电信,SSE,中证公司,一级行业指数,20031231,1000,20090109
000041.SH,上证公用,SSE,中证公司,一级行业指数,20031231,1000,20090109
000042.SH,上证央企,SSE,中证公司,主题指数,20081231,1000,20090330
000043.SH,超大盘,SSE,中证公司,规模指数,20031231,1000,20090423
000044.SH,上证中盘,SSE,中证公司,规模指数,20031231,1000,20090703
000045.SH,上证小盘,SSE,中证公司,规模指数,20031231,1000,20090703
000046.SH,上证中小,SSE,中证公司,规模指数,20031231,1000,20090703
000047.SH,上证全指,SSE,中证公司,规模指数,20031231,1000,20090703
000048.SH,责任指数,SSE,中证公司,主题指数,20090630,1000,20090805
000049.SH,上证民企,SSE,中证公司,主题指数,20090630,1000,20090825
000050.SH,50等权,SSE,中证公司,策略指数,20031231,1000,20110104
000051.SH,180等权,SSE,中证公司,策略指数,20020628,3299.06,20110524
000052.SH,50基本,SSE,中证公司,策略指数,20031231,1000,20120109
000053.SH,180基本,SSE,中证公司,策略指数,20020628,3299.06,20120109
000054.SH,上证海外,SSE,中证公司,主题指数,20061229,1000,20100104
000055.SH,上证地企,SSE,中证公司,主题指数,20090630,1000,20100104
000056.SH,上证国企,SSE,中证公司,主题指数,20090630,1000,20100104
000057.SH,全指成长,SSE,中证公司,成长指数,20031231,1000,20100104
000058.SH,全指价值,SSE,中证公司,价值指数,20031231,1000,20100104
000059.SH,全R成长,SSE,中证公司,成长指数,20031231,1000,20100104
000060.SH,全R价值,SSE,中证公司,价值指数,20031231,1000,20100104
000061.SH,上证企债30,SSE,上交所,债券指数,20081231,100,20100104
